Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Passes criativos (p90),xT Passes no último terço (p90),xT Passes para último terço (p90),xT Passes (p90),xT Cruzamentos (p90)
BRA1,2024,241825.0,Barreto,Criciuma,2526.0,MC,Meio Campo,Segundo Volante,-0.4247311790133169,-0.7595134407567811,-0.5209424310912977,-0.6320176375691229,-0.7193286526456636
BRA1,2024,248121.0,Thiago Maia,Internacional,2078.0,DMC,Meio Campo,Primeiro Volante,-0.2405688781596579,-0.0800713216511471,0.1088447161139913,0.2434840907923347,-0.6106098948388562
BRA1,2024,253963.0,Dodi,Gremio,2622.0,DMC,Meio Campo,Primeiro Volante,-1.052067793032032,-1.1077664213378886,-0.9363710853492782,-1.2741654901498665,-0.8434979227604384
BRA1,2024,277351.0,Emmanuel Martínez,Fortaleza,1135.0,MC,Meio Campo,Segundo Volante,0.4368414889011708,-0.0507182032711032,-0.6492281354665692,-0.2178043562397616,0.5160825250987681
BRA1,2024,279478.0,Lincoln,Red Bull Bragantino,1694.0,AMC,Meio Campo,Meia,0.4918641694721016,0.4833951985851593,-0.2748567191399032,-0.1574378025400955,0.8024459971699855
BRA1,2024,280693.0,Matheuzinho,Vitoria,2758.0,MR,Meio Campo,Segundo Volante,0.3064697514022228,0.0685471479069621,-0.5533754227446548,-0.2332317251527098,0.6347807542057905
BRA1,2024,281935.0,Allano,Criciuma,1456.0,MR,Meio Campo,Segundo Volante,0.2230432213235547,0.5118381771982558,-0.9435234244788364,-0.2701912549926646,-0.3307450352900392
BRA1,2024,294056.0,Danilo Barbosa,Botafogo RJ,1298.0,DMC,Meio Campo,Primeiro Volante,-0.8844584657324849,-0.9440686920771032,-0.1737421715566364,-0.6991227483384708,-0.8998096445152091
BRA1,2024,295838.0,Allan,Flamengo,1568.0,DMC,Meio Campo,Primeiro Volante,-0.5841767070138774,-0.6612966263093658,0.6349533769516191,-0.0137041401343507,-0.8117085812381746
BRA1,2024,297389.0,Matheus Pereira,Cruzeiro,3132.0,AMC,Meio Campo,Meia,2.003358045115856,2.5430416173471007,1.3928927160812654,1.9724234344357887,2.0923345861177305
BRA1,2024,299394.0,Ronaldo,Juventude,1284.0,DMC,Meio Campo,Primeiro Volante,-0.6595543842658346,-0.8787793938436618,-0.0123828006801101,-0.2561697742111431,-0.6567295174675528
BRA1,2024,299687.0,Tomás Pochettino,Fortaleza,1850.0,AMC,Meio Campo,Meia,1.8090865491041792,0.204230565859799,-0.1799841052024473,-0.2222919576264302,1.6403398925299697
BRA1,2024,317677.0,Raphael Veiga,Palmeiras,2716.0,AMC,Meio Campo,Meia,2.0182634270184607,0.9597515318380916,0.2469418206338289,0.1784386579345203,1.893070767044336
BRA1,2024,317741.0,Lucas Fernandes,Cuiaba,1246.0,AMC,Meio Campo,Meia,0.1056455820405642,-0.3780916155907086,-0.7995327606743634,-0.6882676804749122,-0.5663240500679186
